article,denial?
  In honor of Al Gore’s new movie Elmer and the M4GW players have come back to lambaste Al one more time. This video introduces Trump for the first time and has a surprising ending. The Song is to the Tune of Leonard Cohen’s classic Hallelujah.,1
"  By Elmer Beauregard 1. The Globe Isn’t Warming. In fact the earth has cooled by almost 1 degree in the last year and has been flat for 20 years. 2. The Polar Icecaps Aren’t Melting. Antarctica is at near record ice levels and the Arctic ice is almost back to normal levels and Greenland has gained near record ice this last winter. Newfoundland is also having problems with record sea ice. I doubt the Northwest Passage will be open this year. 3. Polar Bears Aren’t Dying. Just the opposite is true, Polar Bears are thriving. 4. The Oceans Aren’t Rising. Rising Oceans have crawled almost to a stop, in fact in some places sea levels are actually dropping like Manhattan for instance, Sea Levels have dropped 4″ there since 2010. 5. Storms Aren’t Getting Worse. The US hasn’t had a major Hurricane in over 10 years which is a record. Plus, tornadoes are down too.
 6. We Are Most Likely Headed Back To Global Cooling Phase. Some even think we are headed for another Ice Age.
 7. CO2 Is Not A Pollutant. Increased CO2 levels is actually making the planet greener.
 8. Exactly the opposite of what you may have heard 97% Of Scientists DON’T Believe in Global Warming. Over 31,000 Scientists have put their reputations on the line and signed a petition saying they are skeptical of Global Warming on the other side the largest number I can find is 800 scientists who still believe in Global Warming sent a letter to Trump saying he should take action on Global Warming. 31,000 x 2.58% = 800
 9. They Are Fudging The Data. Scientists have been caught fudging the data in the Climategate Scandal back in 2009, using such phases as “Hide The Decline” and they are still fudging the data to this day.
 10. It’s A Bad Deal For America. It is just an excuse to transfer money out of the US to create a Global Government which we don’t want.
",1
"  Dr. Judith Curry
President, Climate Forecast Applications Network; Professor Emeritus, Georgia Institute of Technology
Dr. John Christy
Professor and Director, Earth System Science Center, NSSTC, University of Alabama at Huntsville; State Climatologist, Alabama
Dr. Michael Mann
Distinguished Professor of Atmospheric Science, Pennsylvania State University; Director, Earth System Science Center (ESSC), Pennsylvania State University
Dr. Roger Pielke Jr.Professor, Environmental Studies Department, University of Colorado",1
" CNBC.com
 Environmental Protection Agency Administrator Scott Pruitt said Thursday he does not believe carbon dioxide is a primary contributor to global warming. “I think that measuring with precision human activity on the climate is something very challenging to do and there’s tremendous disagreement about the degree of impact, so no, I would not agree that it’s a primary contributor to the global warming that we see,” he told CNBC’s “Squawk Box.” “But we don’t know that yet. … We need to continue the debate and continue the review and the analysis.” Read the rest of the article here.  ",1
  By Elmer Beauregard I decided to put part of my PowerPoint presentation online. As a Graphic designer I have been designing “graphs” for many years and I think bring a different perspective to the Global Warming debate.,1
" By Daily Rose, DailyMail.com The Mail on Sunday today reveals astonishing evidence that the organisation that is the world’s leading source of climate data rushed to publish a landmark paper that exaggerated global warming and was timed to influence the historic Paris Agreement on climate change. A high-level whistleblower has told this newspaper that America’s National Oceanic and Atmospheric Administration (NOAA) breached its own rules on scientific integrity when it published the sensational but flawed report, aimed at making the maximum possible impact on world leaders including Barack Obama and David Cameron at the UN climate conference in Paris in 2015. The report claimed that the ‘pause’ or ‘slowdown’ in global warming in the period since 1998 – revealed by UN scientists in 2013 – never existed, and that world temperatures had been rising faster than scientists expected. Launched by NOAA with a public relations fanfare, it was splashed across the world’s media, and cited repeatedly by politicians and policy makers.",1
" Written by John O’Sullivan, principia-scientific.org We have been lied to: Carbon dioxide (CO2) is an alleged ‘well-mixed gas’ also alleged to reside in sufficient quantities high in the atmosphere to cause global warming (via the so-called greenhouse gas effect). But as President Trump looks to help dismantle the hoax there is much inconvenient science at hand to help his administration discredit this ‘theory’ beloved by climate alarmists. The first damaging fact to the theory: CO2 is actually a heavy gas. It is not ‘well mixed’ in the air as per the glib claim.  Just check out the NASA image (above) showing widely varying carbon dioxide concentrations. Indeed, schoolchildren are shown just how heavy CO2 is by way of a simple school lab experiment. This heavy gas thus struggles to rise and soon falls back to earth due to its Specific Gravity (SG). Real scientists rely on the SG measure which gives standard air a value of 1.0 where the measured SG of CO2 is 1.5 (considerably heavier). Thus,  in the real world the warming theory barely gets off the ground. As shown  in Carbon Dioxide Not a Well Mixed Gas and Can’t Cause Global Warming the same principle applies to heat transfer: the Specific Heat (SH) of air is 1.0 and the SH of CO2 is 0.8 (thus CO2 heats and cools faster).  Combining these properties allows for thermal mixing. Heavy CO2 warms faster and rises, as in a hot air balloon.  It then rapidly cools and falls. Once it falls it loses any claimed climate impact. Read the rest of the article here.",1
"  Millie Weaver interviews Holly Swanson about the undisclosed agenda of the newly implemented environmental movement within our schools. They discuss how the environmental movement is used to politicize curriculum under the pretense of environmental education to advance green party goals and communism on America’s children. https://www.freedomforceinternational… Please support this channel by embedding the link! Help us spread the word about the liberty movement, we’re reaching millions help us reach millions more. Share the free live video feed link with your friends & family: http://www.infowars.com/show Follow Millie on TWITTER – https://twitter.com/millie__weaver
Like Alex on FACEBOOK – https://www.facebook.com/millieweaver Web:
http://millennialmillie.com
http://www.infowars.com/
http://www.prisonplanet.com/
http://www.infowars.net/",1
  Have you ever heard of the Kensington Runestone? Well this Minnesota man just may have found something that could prove it’s authenticity once and for all. Here is a short documentary he made in order to raise money for the DNA test and to make a documentary about the find. It’s pretty interesting stuff. Here is his GoFundMe page. https://www.gofundme.com/runestone-man,1
" DW.COM Ahead of the confirmation hearing of climate skeptic Scott Pruitt, President Trump’s nominee to head the EPA, former aide Myron Ebell says it’s only a matter of time until the US leaves the climate agreement. The former head of President Donald Trump’s transition team at the Environmental Protection Agency (EPA) has said it is only a matter of time before the president pulls America out of the Paris climate agreement, and that an executive order on the issue could come within days. Myron Ebell said President Trump was determined to undo policies implemented by Barack Obama to reduce greenhouse gas emissions. “I expect Donald Trump to be very assiduous in keeping his promises, despite all of the flack he is going to get from his opponents,” he told the media at a briefing in London on Monday. He was speaking at an event organized by The Global Warming Policy Foundation (GWPF), the main group advocating climate change skepticism in the United Kingdom. Speaking in London, Ebell also called the environmental movement “the greatest threat to freedom and prosperity in the modern world.” Ebell, a long-standing climate change denier, said the United States would “clearly change its course on climate policy” under the new administration.   Read the rest of the article here.",1
