text,denial?
"“Pollution” they say ….. when carbon dioxide is the elixir of life, and the base of most of the food chains on our planet.",1
"If (and it’s a very big if) implementing the new tax actually does result in a cut of 5% in Australian emissions, which is the government’s target, then the theoretical amount of global warming averted would be much less than one-thousandth of a degree; even cutting Australia’s emissions altogether would avert warming of only 0.02 deg. C (two one-hundredths of a degree).",1
"Would more warming, if it occurs, be beneficial or harmful? Both, depending upon geography, but overall the net benefits may well exceed the harm. For it is no accident that text-books call a warmer period that occurred about 8,000 years ago the “Holocene climatic OPTIMUM”.",1
"Currently the planet is cooling, and we have a quiet sun – which indicates that more cooling is likely.",1
"In reality, the great majority of independent scientists are agnostic rather than sceptical about the hypothesis of human-caused warming – it is the likely magnitude of human-caused warming, not the existence of a warming tendency in the first place, that is under debate.",1
"The late 20th century warming of half a degree, and the current pause or cooling, fall well within the bounds of previous natural temperature change; they are therefore not necessarily alarming, nor necessarily of human causation.",1
"A gentle warming of up to about 0.5 deg. C occurred between 1979 and 1998; but since 1998 global temperature has now been static or cooling gently for ten years, despite continuing increases in CO2 emissions.",1
"Closing down the whole Australian industrial economy might result in the prevention of about 0.02 degrees of warming. Reducing emissions by 5 per cent by 2020 (the government's target) will avert an even smaller warming of about 0.002 degrees. Ergo, cutting Australian emissions will make no measurable difference to global climate.",1
"Between 2001 and 2010 global average temperature decreased by 0.05 degrees, over the same time that atmospheric carbon dioxide levels increased by 5 per cent. Ergo, carbon dioxide emissions are not driving dangerous warming.",1
"A mild warming of about 0.5 degrees Celsius (well within previous natural temperature variations) occurred between 1979 and 1998, and has been followed by slight global cooling over the past 10 years. Ergo, dangerous global warming is not occurring.",1
there is no demonstrated problem of “dangerous” global warming,1
eliminating even all of Australia’s emissions might prevent planetary warming of only about 0.01 degree by 2100,1
"At its mooted introductory level of $20 to $30 per tonne, a carbon dioxide tax is unlikely to effect any reduction in emissions. As the price is ratcheted up, as is intended, to the point at which energy-intensive industry is forced offshore, Australian emissions will decline, as will Australia’s standard of living, but world emissions will remain the same. Such a policy is senseless",1
"Taxing the emissions of [large emitters] will cause them to move offshore, or destroy them....To levy an unnecessary tax on [coal] is economic vandalism that will destroy jobs and reduce living standards for all Australians",1
