article,denial?
"
Germany says it plans to take a more active role in Arctic affairs, citing the far north's growing ecological, political and economic significance as a result of climate change.
Cabinet passed a resolution Wednesday declaring its intention to send German experts to advise the Arctic Council. It also plans to campaign for an expansion of environmental protection areas in the Arctic and explore the potential that the increasingly ice-free Northwest and Northern Passages have for shipping during the summer.
German Chancellor Angela Merkel said Tuesday after a meeting with Nordic leaders that her country, which is an observer in the Arctic Council, will ""keep an eye on the strategic role of the Arctic.""
Merkel said Germany would seek to prevent the Arctic from becoming ""an object of ruthless exploitation and natural destruction.""",0
"
It was a funeral for ice.
With poetry, moments of silence and political speeches about the urgent need to fight climate change, Icelandic officials, activists and others bade goodbye to what once was a glacier.
Icelandic geologist Oddur Sigurðsson pronounced the Okjokull glacier extinct about a decade ago. But on Sunday he brought a death certificate to the made-for-media memorial.
After about 100 people made a two-hour hike up a volcano, children installed a memorial plaque to the glacier, now called just ""Ok,"" minus the Icelandic word for glacier.
The glacier used to stretch six square miles (15 square kilometers), Sigurdsson said. Residents reminisced about drinking pure water thousands of years old from Ok.
""The symbolic death of a glacier is a warning to us, and we need action,"" former Irish president Mary Robinson said.
This was Iceland's first glacier to disappear. But Sigurdsson said all of the nation's ice masses will be gone in 200 years.
""We see the consequences of the climate crisis,"" Icelandic Prime Minister Katrín Jakobsdóttir said. ""We have no time to lose.""
Jakobsdottir said she will make climate change a priority when Nordic leaders and German Chancellor Angela Merkel meet in Reykjavik on Tuesday.
""I know my grandchildren will ask me how this day was and why I didn't do enough,"" said Gunnhildur Hallgrimsdottir, 17.
The plaque, which notes the level of heat-trapping carbon dioxide, also bears a message to the future: ""This monument is to acknowledge that we know what is happening and what needs to be done. Only you know if we did it.""",0
"
Alaska has been America's canary in the coal mine for climate warming, and the yellow bird is swooning.
July was Alaska's warmest month ever, according to the National Oceanic and Atmospheric Administration.
Sea ice melted. Bering Sea fish swam in above-normal temperatures. So did children in the coastal town of Nome. Wildfire season started early and stayed late. Thousands of walruses thronged to shore.
Unusual weather events like this could become more common with climate warming, said Brian Brettschneider, an associate climate researcher at the University of Alaska Fairbanks' International Arctic Research Center. Alaska has seen ""multiple decades-long increases"" in temperature, he said.
""It becomes easier to have these unusual sets of conditions that now lead to records,"" Brettschneider said.
Alaska's average temperature in July was 58.1 degrees (14.5 Celsius). That's 5.4 degrees (3 Celsius) above average and 0.8 degrees (0.4 Celsius) higher than the previous warmest month of July 2004, NOAA said.
The effects were felt from the Arctic Ocean to the world's largest temperate rainforest on Alaska's Panhandle.
Anchorage, the state's largest city, on July 4 for the first time hit 90 degrees (32.22 Celsius) at Ted Stevens Anchorage International Airport, 5 degrees higher than the city's previous recorded high of 85 degrees (29.44 Celsius).
Sea ice off Alaska's north and northwest shore and other Arctic regions retreated to the lowest level ever recorded for July, according to the National Snow and Ice Data Center at the University of Colorado.
Arctic sea ice for July set a record low of 2.9 million square miles (7.6 million square kilometers). That was a South Carolina-size loss of 30,900 square miles (80,000 square kilometers) below the previous record low July in 2012.
Sea ice is the main habitat for polar bears and a resting platform for female walruses and their young. Several thousand walruses came to shore July 30, the first time they've been spotted in such large numbers before August.
Effects were less obvious in the Bering Sea off Alaska's west coast. Lyle Britt, a NOAA Fisheries biologist who oversees the agency's annual Bering Sea groundfish survey, was on a trawler east of the island of Saint Matthew during the first week of July.
""The temperature out there for us was in the high 70s,"" Britt said. ""On those boats, everything up there is designed to conserve heat, not vent heat. It was unbearably warm inside the boat.""
On the ocean bottom, Britt's crew for the second consecutive year found scant evidence of a ""cold pool,"" the east-west barrier of extremely cold, salty water that traditionally concentrates Pacific cod and walleye pollock, the species that make fast-food fish sandwiches, in the southeastern Bering Sea.
Alaska's wildfire season started in April. July's dry and hot temperatures extended it. An expected rainy season marked by southwest winds pushing up moisture and soaking fires did not show up on time, said Tim Mowry, spokesman for the state Division of Forestry.
""It extended our fire season through the month of July,"" Mowry said.
Alaska by mid-July can usually free up crews to fight fires in other states, but only about 15 people have left this year. High fire danger around Anchorage, the Kenai Peninsula and the Matanuska-Susitna Borough has kept crews in Alaska.
""We've pretty much held on to all our resources in-state at this point,"" Mowry said.
A burn ban and water sprinkler restrictions remain in place for Haines, just outside the Tongass National Forest. July extended a drought in the rainforest, said Rick Thoman, another climate expert at the International Arctic Research Center.
Cities in the southern half of the rainforest have limited or no hydropower because of low water levels. That means power has to be generated by burning diesel fuel, Thoman said.
July was the hottest month measured on Earth since records began in 1880, NOAA reported Thursday. And a United Nations report earlier this month warned that global warming threatens food supplies around the world.
But Alaska's recent heat has had silver linings. Barley and other crops are ready to harvest, said Stephen Brown of the University of Alaska Fairbanks Cooperative Extension Service.
The growing season has been extended by a month, and if extra days become the norm, they will expand what can be grown in the state. Brown used heat radiated from his blacktop driveway to grow fruit not usually seen outside greenhouses.
""I've got a bumper crop of tomatoes and jalapenos this summer,"" he said.
On the other hand, the weather has stressed birch trees and left them vulnerable to leaf-eating insects.
""That gives the leaf miners opportunity to really whack them good,"" he said. ""I'm looking at my lawn right now, and I need to rake leaves.""
Brettschneider, the climate researcher, sees mostly negative effects from the hot July and climate warming. Alaska looks the way it does because of the temperature regime, he said, and in 50 years, Alaska may look like Idaho.
""We should expect changes. We should expect the forests to be in different locations. We should expect wildlife to move. We should expect plants to move. And in many cases, if they can't move fast enough, we should expect them to just go away,"" he said.",0
"
Scorching temperatures this year broke records, including July becoming the hottest month ever recorded on Earth, scientists said Thursday.

The average global temperature in July was 1.71 degrees above the 20th century average of 60.4 degrees, the hottest temperature that month since scientists began keeping track 140 years ago, according to meteorologists at the National Oceanic and Atmospheric Administration (NOAA).
The previous hottest month on record was July 2016.
The period from January through July was also the second-hottest year to date on record, tying with 2017. The global temperature during that time was 1.71 degrees above the recorded average of 56.9 degrees, according to NOAA.

However, in some parts of the world, including North and South America, Asia, Australia, New Zealand, and the southern half of Africa, it was the hottest year to date.
Ahira Sanchez-Lugo, one of the organization's National Centers for Environmental Information scientists, told ABC News in an email that as the temperatures continue to warm, extreme events such as heat waves and droughts will continue to become more common.

""As the frequency and intensity of these extremes change, we become increasingly vulnerable as these changes can affect our health as well as our food and water sources,"" Sanchez-Lugo said.

Heat warnings slammed much of the eastern half of the U.S. -- from Kansas to Ohio and North Carolina to New Hampshire -- last month.

On July 19, several heat index readings came close to setting records throughout the eastern region.

Some of the temperatures the following day, in places like New York City and Philadelphia, were expected to be the hottest in several years.

In Europe, a heat wave in July produced the highest-ever temperatures in Belgium and Germany, while the Netherlands saw its hottest day in 75 years, according to The Associated Press.",0
"
Carbon dioxide levels in Earth's atmosphere rose to levels the planet hasn't seen in 800,000 years in 2018, underscoring the impact of irreversible -- and increasing -- environmental damage due to human activity, according to a new federal report.

Carbon dioxide and other major greenhouse gases, including methane, and nitrous oxide, continued their rapid increase last year, while global sea level rose to its highest on record, according to the American Meteorological Society's State of the Climate in 2018 report, released on Monday.

Global average sea level rose to a new record high in 2018, rising for the seventh consecutive year, according to the report, which was compiled by 470 scientists in 60 countries.
Global average sea level was about 3.2 inches higher than the 1993 average -- the year that marks the beginning of the satellite altimeter record. Global sea level is rising at an average rate of 1.2 inches per decade.
Globally, upper ocean heat content reached record highs in 2018. Oceans absorb more than 90% of Earth's excess heat from global warming and sea ice was at a near-record low, the report said.

""This places 2018 as having the fourth warmest annual global temperature since records began in the mid- to late 1800s. The four warmest years on record have all occurred since 2015,"" the American Meteorological Society, led by the U.S. National Oceanic and Atmospheric Administration, said in a statement. ""There were also more high, and fewer low, temperature extremes than in nearly the entire 68-year extremes record.""
""Several markers such as sea level and greenhouse gas concentrations in the atmosphere once again broke records set just one year prior,"" it added.
The report came just days after a United Nations climate panel concluded that efforts to divestment from fossil fuels alone wouldn't be enough to limit warming from climate change, saying issues including deforestation and agriculture must also be addressed to drive down greenhouse gas emissions.

Land-surface temperatures have increased nearly twice as much as global average temperatures, the report said, as human activities on land have released more than 20% of global emissions.
Protecting forests that absorb carbon and reforming agricultural practices could play a large role, according to the report.

""Land plays an important role in the climate system,"" Jim Skea, co-chair of the Intergovernmental Panel on Climate Change, said in a press release.

""Agriculture, forestry and other types of land use account for 23% of human greenhouse gas emissions,"" he said. ""At the same time natural land processes absorb carbon dioxide equivalent to almost a third of carbon dioxide emissions from fossil fuels and industry.""

ABC News' Clayton Sandell and Stephanie Ebbs contributed to this report.",0
"
Former Vice President Al Gore called for unity and urgency in the American response to climate change, saying he was encouraged by growing climate activism around the world, but alarmed by what he said is the imminence of irreversible, continuing environmental damage.

""There’s both bad news and good news,"" he said in an interview with ABC News Chief White House Correspondent Jonathan Karl. ""The problem’s getting worse faster than we are mobilizing to solve it. However … we now have an upsurge in climate activism.""

Gore acknowledged that climate change is ""a global crisis that requires a global response,"" and that to be successful, climate policies require international cooperation. But he held that the U.S. has a responsibility to facilitate this cooperation.

""The United States of America -- and only the United States of America -- can provide the necessary leadership to rally nations around the world to do the right thing,"" he said.Al Gore tells @jonkarl that climate change is ""getting worse faster than we are mobilizing to solve it,"" but the ""good news"" is that ""we now have an upsurge in climate activism at the grassroots in all 50 states ... and in every country in the world"" https://t.co/GU8je00r20 pic.twitter.com/Kz7Swtr1dM
And with Democratic primary voters ranking climate change among their top five issues, 2020 candidates have made addressing it more central to their campaigns. Gore said on ""This Week"" that while he would not comment or advise on specific candidate’s plans, he felt encouraged that the issue has become more of a political priority for Democrats.

""I would always like to see more time devoted to it,"" Gore told Karl. ""But I have to say, yes I think that it's great that there are so many of these candidates who are really making it their top priority and who are really focusing on introducing bold plans.""
For the Trump administration, however, the approach to climate change has included rolling back environmental protection policies, including those implemented under President Barack Obama, from repealing Obama-era regulations on methane in September 2018 to relaxing safety measures on offshore drilling in May. In 2017, Trump announced his intention to pull out of the landmark Paris climate agreement, saying it crippled American job growth and manufacturing.
Gore met in December 2016 with then-President-elect Donald Trump for a conversation on climate change and the Paris Accord and in the interview with ""This Week"" that he was hopeful before the meeting that even under a conservative administration, there could be progress made on climate policy. More than two years later, however, he said that were he to meet with Trump again, he would do so, ""without any expectation of reasonableness or responsiveness.""

""I did think at the time that there was a chance he might change on climate when presented with the facts,"" Gore said. ""I was clearly wrong about that… He doesn't want to change on it.""
In the same interview, Karl asked Gore about the possibility of impeachment proceedings against Trump. The Judiciary Committee, led by Rep Jerrold Nadler, D-N.Y., is investigating whether to recommend articles of impeachment for what Nadler has said is ""the obstructive conduct described by the special counsel."" Gore, during his vice presidency in the Clinton administration, saw impeachment proceedings from up close and said he supports the course of action Nadler has decided to pursue.

""Not seeking accountability for what appear to be credible allegations that crimes were committed, meaningful crimes, runs the risk of normalizing that behavior,"" Gore said.

With impeachment on the table and climate policy virtually off it, advancing climate policy during the Trump administration could be difficult. But the surge in climate activism around the world, Gore said, is good news. He also indicated that wind and solar power were growth industries for the economy.

""This is the best way to create millions of new jobs,"" he said. ""This is where the economic growth of the future is to be found.""",0
"
A United Nations panel says countries around the world need to adapt food systems to limit climate change, including adopting more sustainable agriculture practices and altering diets to eat less red meat.

Agriculture and other uses of land around the world contribute more than 23% of greenhouse gas emissions, according to the report and warming from climate change could start to make food more expensive as heat, drought or extreme rains make crops less productive.
The report released on Thursday points out that some aspects of global food production are inefficient, including that 25 to 30% of food produced is lost or wasted. As populations grow in developing countries and those populations consume more meat and processed foods the demand for food will also increase and put more stress on resources like water and competition for land.
Representatives from the U.N. panel said they don't tell people what to eat but that more plant-based diets and sustainably-produced meat can have benefits for both the climate and human health around the world.

""Balanced diets, featuring plant-based foods, such as those based on coarse grains, legumes, fruits and vegetables, nuts and seeds, and animal-sourced food produced in resilient, sustainable and low-GHG emission systems, present major opportunities for adaptation and mitigation while generating significant co-benefits in terms of human health,"" the report says.

Climate and agriculture in the U.S. say the shift would have multiple benefits, including reducing greenhouse gas emissions from agriculture, improving health and providing new opportunities for farmers.

""The good news is that if you eat a more nutritious diet there's a good likelihood that if you're substituting legumes, and whole grains and vegetables and fruits for meat then you tend to also reap some real environmental benefits,"" University of Minnesota Professor Jason Hill told ABC News.
Walter Willett, an epidemiology and nutrition professor at the Harvard T.H. Chan School of Public Health, said the way we use land in the U.S. is detrimental to our health because there's so much emphasis on producing corn and soy for animal feed. He said the U.S. needs to produce massively more fruits, vegetables, and nuts instead of crops for animal feed, processed foods, and ethanol.

""That big 45 percent that we're feeding to animals and is basically making us sick by too much beef and pork, it's destroying our land and our resources at the same time. We're losing at both ends, we're losing by the destruction of the environment and we're losing by making people sick, so how can it get worse than that?""

Willett and other experts also said the U.S. would have to look at its system for supporting farmers, which heavily subsidizes crops like corn and soybeans, and incentivize sustainable farming practices and producing more healthy foods.

""We need to look at every foot of our land and think about how can we best use this to promote production of healthy food as well as do that in a sustainable way. These really are issues that are a collective responsibility, we can't put it all on the farmer,"" he said.

Amanda Shapiro, editor ofHealthyish Bon Appétit magazine's wellness site, said they have already seen their readers asking for more vegetarian recipes or recipes that can be easily adapted to be vegetarian or vegan. She said people in the food space are more conscious now that you don't have to label yourself ""vegetarian"" or ""vegan"" to reduce your consumption of meat.

""There's really a much more broad idea of what health means and I think more and more the shift toward vegetarianism for climate reasons I think our readers are thinking about health not just in terms of their health but in terms of the health of the planet,"" she told ABC.

But Shapiro said if people are willing to be creative with flavor and incorporate healthy fats, a plant-focused diet can be just as satisfying as one focused on meat. She said especially with so much seasonal produce this time of year, which has been the focus of the Healthyish ""Farmer's Market Challenge,"" ""there's just no excuse not to feel inspired by plant based cooking.""

For practical tips, Shapiro said home cooks should think about recipes they already like or are excited to try and experiment with a plant-forward version, like making meatballs from mushrooms instead of pork or using less meat the complement the other ingredients instead of the main element of a meal. She also said playing with different spices and sauces, as well as healthy fats, can keep food interesting and filling without focusing on meat. ",0
"
Human-caused climate change is dramatically degrading the Earth's land and the way people use the land is making global warming worse, a new United Nations scientific report says. That creates a vicious cycle which is already making food more expensive, scarcer and less nutritious.
""The cycle is accelerating,"" said NASA climate scientist Cynthia Rosenzweig, a co-author of the report. ""The threat of climate change affecting people's food on their dinner table is increasing.""
But if people change the way they eat, grow food and manage forests, it could help save the planet from a far warmer future, scientists said.
Earth's land masses, which are only 30% of the globe, are warming twice as fast as the planet as a whole. While heat-trapping gases are causing problems in the atmosphere, the land has been less talked about as part of climate change. A special report, written by more than 100 scientists and unanimously approved by diplomats from nations around the world Thursday at a meeting in Geneva, proposed possible fixes and made more dire warnings.
""The way we use land is both part of the problem and also part of the solution,"" said Valerie Masson-Delmotte, a French climate scientist who co-chairs one of the panel's working groups. ""Sustainable land management can help secure a future that is comfortable.""
Scientists at Thursday's press conference emphasized both the seriousness of the problem and the need to make societal changes soon.
""We don't want a message of despair,"" said science panel official Jim Skea, a professor at Imperial College London. ""We want to get across the message that every action makes a difference.""
Still the stark message hit home hard for some of the authors.
""I've lost a lot of sleep about what the science is saying. As a person, it's pretty scary,"" Koko Warner, a manager in the U.N. Climate Change secretariat who helped write a report chapter on risk management and decision-making, told The Associated Press after the report was presented at the World Meteorological Organization headquarters in Geneva. ""We need to act urgently.""
The report said climate change already has worsened land degradation, caused deserts to grow, permafrost to thaw and made forests more vulnerable to drought, fire, pests and disease. That's happened even as much of the globe has gotten greener because of extra carbon dioxide in the air. Climate change has also added to the forces that have reduced the number of species on Earth.
""Climate change is really slamming the land,"" said World Resources Institute researcher Kelly Levin, who wasn't part of the study.
And the future could be worse.
""The stability of food supply is projected to decrease as the magnitude and frequency of extreme weather events that disrupt food chains increases,"" the report said.
In the worst-case scenario, food security problems change from moderate to high risk with just a few more tenths of a degree of warming from now. They go from high to ""very high"" risk with just another 1.8 degrees Fahrenheit (1 degree Celsius) of warming from now.
""The potential risk of multi-breadbasket failure is increasing,"" NASA's Rosenzweig said. ""Just to give examples, the crop yields were effected in Europe just in the last two weeks.""
Scientists had long thought one of the few benefits of higher levels of carbon dioxide, the major heat-trapping gas, was that it made plants grow more and the world greener, Rosenzweig said. But numerous studies show that the high levels of carbon dioxide reduce protein and nutrients in many crops.
For example, high levels of carbon in the air in experiments show wheat has 6% to 13% less protein, 4% to 7% less zinc and 5% to 8% less iron, she said.
But better farming practices — such as no-till agricultural and better targeted fertilizer applications — have the potential to fight global warming too, reducing carbon pollution up to 18% of current emissions levels by 2050, the report said.
If people change their diets, reducing red meat and increasing plant-based foods, such as fruits, vegetables and seeds, the world can save as much as another 15% of current emissions by mid-century. It would also make people more healthy, Rosenzweig said.
The science panel said they aren't telling people what to eat because that's a personal choice.
Still, Hans-Otto Pörtner, a panel leader from Germany who said he lost weight and felt better after reducing his meat consumption, told a reporter that if she ate less ribs and more vegetables ""that's a good decision and you will help the planet reduce greenhouse gas emissions.""
Reducing food waste can fight climate change even more. The report said that between 2010 and 2016, global food waste accounted for 8% to 10% of heat-trapping emissions.
""Currently 25%-30% of total food produced is lost or wasted,"" the report said. Fixing that would free up millions of square miles of land.
With just another 0.9 degrees F of warming (0.5 degrees C), which could happen in the next 10 to 30 years, the risk of unstable food supplies, wildfire damage, thawing permafrost and water shortages in dry areas ""are projected to be high,"" the report said.
At another 1.8 degrees F of warming (1 degree C) from now, which could happen in about 50 years, it said those risks ""are projected to be very high.""
Most scenarios predict the world's tropical regions will have ""unprecedented climatic conditions by the mid-to-late 21st century,"" the report noted.
Agriculture and forestry together account for about 23% of the heat-trapping gases that are warming the Earth, slightly less than from cars, trucks, boats and planes. Add in transporting food, energy costs, packaging and that grows to 37%, the report said.
But the land is also a great carbon ""sink,"" which sucks heat-trapping gases out of the air.
From about 2007 to 2016, agriculture and forestry every year put 5.7 billion tons (5.2 billion metric tons) of carbon dioxide into the air, but pulled 12.3 billion tons (11.2 billion metric tons) of it out.
""This additional gift from nature is limited. It's not going to continue forever,"" said study co-author Luis Verchot, a scientist at the International Center for Tropical Agriculture in Colombia. ""If we continue to degrade ecosystems, if we continue to convert natural ecosystems, we continue to deforest and we continue to destroy our soils, we're going to lose this natural subsidy.""
Overall land emissions are increasing, especially because of cutting down forests in the Amazon in places such as Brazil, Colombia and Peru, Verchot said.
Recent forest management changes in Brazil ""contradicts all the messages that are coming out of the report,"" Pörtner said.
Saying ""our current way of living and our economic system risks our future and the future of our children,"" Germany's environment minister, Svenja Schulze, questioned whether it makes sense for a country like Germany to import large amounts of soy from Latin America, where forests are being destroyed to plant the crop, to feed unsustainable numbers of livestock in Germany.
""We ought to recognize that we have profound limits on the amount of land available and we have to be careful about how we utilize it,"" said Stanford University environmental sciences chief Chris Field, who wasn't part of the report.
———
AP Science Writer Seth Borenstein reported from Washington. Frank Jordans contributed from Berlin.
———
For more Associated Press stories about climate change, go to https://www.apnews.com/Climate 
———
Follow Seth Borenstein on Twitter: @borenbears 
———
The Associated Press Health and Science Department receives support from the Howard Hughes Medical Institute's Department of Science Education. The AP is solely responsible for all content.",0
"
A United Nations climate panel said in a report on Thursday that divesting from fossil fuels alone won't be enough to limit warming from climate change, adding that issues including deforestation and agriculture must be addressed to drive down greenhouse gas emissions.

Land-surface temperatures have increased nearly twice as much as global average temperatures, the report said, as human activities on land have released more than 20% of global emissions.

Protecting forests that absorb carbon and reforming agricultural practices could play a large role, according to the report.

""Land plays an important role in the climate system,"" Jim Skea, co-chair of the Intergovernmental Panel on Climate Change, said in a press release.

""Agriculture, forestry and other types of land use account for 23% of human greenhouse gas emissions,"" he said. ""At the same time natural land processes absorb carbon dioxide equivalent to almost a third of carbon dioxide emissions from fossil fuels and industry.""
Zeke Hausfather, an analyst will the non-profit research group Berkeley Earth, said it's important to look at the impact of climate change on land separately from global averages because those affect people the most.

""The whole world has warmed by about 1.1 degrees Celsius, 2 degrees Fahrenheit, from the pre-industrial period, but if you look at the land areas they warm about 50% faster,"" he told ABC News, adding that the difference is partly because oceans have a greater capacity to absorb heat.

Berkeley Earth's analysis of land-surface temperatures over the last 250 years have found that those temperatures have increased about 1.5 degrees Celsius in the same time period, with about 0.9 degrees of that occurring in the last 50 years.

Frances Seymour, a senior fellow from the World Resources Institute whose work focuses on forests, said there's a circular relationship between climate change and the health of global land and forests because both release carbon dioxide and capture it.

Destroying forests actually releases carbon dioxide into the atmosphere, and those trees no longer can absorb additional CO2 that otherwise enters the atmosphere, she added.

""Deforestation is a significant part of the problem, but better management of the forests is an even bigger part of the solution,"" she said. ""It's not just the carbon spewed into the air when a forest is converted into something else, it's that lost opportunity to keep that natural carbon-capture-and-storage factory up and running.""
The report also emphasized that people in southern and eastern Asia, northern Africa and the Middle East likely will bear the brunt of the effects from continued depletion of vital water and land resources, according to the summary.

Hausfather said that while most of the focus in the U.S. tends to be on domestic impacts of climate change, countries that emit less greenhouse gas suffer the most as temperatures and sea levels rise.

""One of the big challenges of climate change is the many ways the people who are least responsible for climate change are the most affected,"" he said. ""You can build a sea wall around Manhattan -- it's a lot harder to build one in Bangladesh.""

Thursday's report is part of a series the U.N. plans to produce on climate change in the buildup to a climate summit next month in New York.
Hausfather said warming in the Arctic or Alaska is a better indicator of the impacts of climate change on land, where, he said, some places have seen average temperatures increases as high as 3 or 4 degrees Celsius.

The National Oceanic and Atmospheric Administration announced this week said the temperatures in Alaska this July were the highest on record, almost 5.5 degrees hotter than the average summer month.
Previous reports from the Intergovernmental Panel on Climate Change have raised concerns about the world's progress in meeting the goal set at the Paris Agreement -- limiting warming to 2 degrees Celsius.

An oft-cited report released by a panel of hundreds of scientists last year warned that greenhouse gas emissions needed to be drastically reduced as quickly as possible to limit warming from reaching levels where effects become ""irreversible.""

The last five years have been the warmest in recorded history, according to NOAA. ",0
"
Seventeen countries -- home to 25% of the global population -- are facing ""extremely high"" water stress, according to the The World Resources Institute, a research non-profit.

Several drought-stricken places around the world have experienced water crises in recent years, with populated cities like Cape Town, Sao Paolo and Chennai inching toward ""Day Zero,"" the day when taps run dry and water is no longer available.
In the 17 countries facing water risk, from India to the Middle East to North Africa, agriculture, industry and municipalities are sucking up 80% of the available surface and groundwater every year, according to WRI's Aqueduct Water Risk Atlas, a tool that ranks water stress, drought risk and riverine flood risk across 189 countries.

This means that even ""small dry shocks,"" which the nonprofit says will likely increase due to climate change, can produce ""dire consequences.""
""Water stress is the biggest crisis no one is talking about,"" WRI president and CEO Dr. Andrew Steer said in a statement. ""Its consequences are in plain sight in the form of food insecurity, conflict and migration, and financial instability.""

The most water-stressed regions on Earth are the Middle East and North Africa, also known as the MENA region, and home to 12 of the 17 at-risk countries. This region could experience the greatest economic losses from climate-related water scarcity, between 6% and 14% of GDP by 2050, the World Bank found.

One possible solution could be to harness the wastewater in this area, 82% of which is not reused to generate a new source of clean water.
India ranks 13th on the Aqueduct list of water-stressed countries, but has more than three times the population of the other 16 countries combined, according to WRI.

While Chennai in southeast India is in danger of its reservoirs drying up, Northern India faces severe groundwater depletion, according to WRI.
""The recent water crisis in Chennai gained global attention, but various areas in India are experiencing chronic water stress as well,” said Shashi Shekhar, former secretary of India’s Ministry of Water Resources and senior fellow of WRI India. ""India can manage its water risk with the help of reliable and robust data pertaining to rainfall, surface and groundwater to develop strategies that strengthen resilience.""
The Indian government is taking critical steps to alleviate the crisis, including placing all water issues -- including supply, drinking water and sanitation -- under one government umbrella. The WRI said the country can also pursue more efficient irrigation, collect and store rainwater, and conserve and restore lakes, floodplains and groundwater recharge areas.
More than a billion people currently live in water-scarce regions, and as many as 3.5 billion could experience water scarcity by 2025, according to WRI. Smaller pockets of extreme water stress even occur in countries with relatively low water stress overall.
Global water crises are stemming from more than just drought. Increasing populations degrade freshwater and coastal aquatic ecosystems, and WRI found that global water withdrawals have more than doubled since the 1960s due to growing demand -- with no signs of slowing down.

Water stress poses threats to human lives, livelihoods and business stability, and it is ""poised to worsen unless countries act,"" according to WRI. ",0
