title,author,date,content,denial?
"Trump administration plans to ease rules on methane, a major contributor to climate change","
","
August 29, 2019 / 10:37 AM
      / CBS/AP
    ","¶Oil and gas companies may face far looser oversight of emissions of potent climate-changing methane gas under a proposal expected from the Trump administration as soon as Thursday, oil industry and environmental groups said.¶The government's plan would ease requirements on oil and gas sites to monitor for methane leaks and plug them. But not all energy companies are in support of the plan, with Shell U.S. President Gretchen Watkins telling the Washington Post on Thursday that it supports national limits on methane.¶The Environmental Protection Agency's move would be the latest in a series by the administration easing Obama-era emissions controls on the oil, gas and coal industries, including for methane.¶More in Climate Change¶Methane is a component of natural gas that's frequently wasted through leaks or intentional releases during drilling operations. The gas is considered a more potent contributor to climate change than carbon dioxide, although it occurs in smaller volumes.¶Under President Trump, both the Interior Department and the EPA have proposed a series of rules — some blocked by courts — to loosen regulations of methane emissions.¶Environmental advocates expected the new methane plan to go further than previous proposals, with a goal of exempting companies from requirements to detect and stop methane leaks at existing oil and gas sites.¶For the EPA, part of the goal is ""they want to get rid of direct regulation of methane,"" said Matt Watson, a vice president of the energy program at the Environmental Defense Fund, an advocacy group.¶Other environmental activists expressed their concerns with the proposal, such as environmentalist and 350.org founder Bill McKibben, who wrote on Twitter, ""The fracking boom is spewing clouds of methane, it's a huge driver of climate change, and now we're going to drop the (minimal) regulation we've had in place.""¶This is literally insane. The fracking boom is spewing clouds of methane, it's a huge driver of climate change, and now we're going to drop the (minimal) regulation we've had in place. Trump and his buddies are pure nihilists. https://t.co/pi9GmEfoHf¶The oil and gas industry is the nation's primary source of methane emissions, according to the EPA, accounting for nearly one-third in 2016.¶The administration rollbacks on emissions from oilfields, storage sites and pipelines have split the oil industry, worrying some in the industry about growing blowback in a world increasingly mindful of climate change.¶Shell U.S. told the Washington Post it would continue to work toward its goal of reducing its methane leaks to less than 0.2 percent by 2025.¶""We believe sound environmental policies are foundational to the vital role natural gas can play in the energy transition and have made clear our support of 2016 law to regulate methane from new and modified onshore sources,"" Shell's Watkins told the publication. ""Despite the administration's proposal to no longer regulate methane, Shell's U.S. assets will continue to contribute to that global target.""¶Royal Dutch Shell this year urged the administration to crack down — not ease up — on the emissions. Many others in the oil and industry have welcomed the easing, however.¶The latest rollback ""highlights the Trump administration's complete contempt for our climate,"" Kassie Siegel of the Center for Biological Diversity, an environmental group, said in a statement. ""The EPA is now so determined to actually increase greenhouse pollution that it's even shrugging off concerns from oil and gas companies about gutting these protections.""",0
"Marriott, the world's largest hotel chain, plans to eliminate single-use plastic toiletries by 2020","
                  Sophie Lewis
              ","
August 28, 2019 / 5:02 PM
      / CBS News
    ","¶The world's largest hotel chain is working to reduce its environmental impact. Marriott International will eliminate small plastic toiletry bottles by December 2020, the company announced Wednesday. ¶Marriott, which operates more than 7,000 hotels worldwide, plans to replace all of its single-use bottles of shampoo, conditioner and bath gel with larger pump bottles in hotel rooms globally, the company said in a press release. ¶The announcement echoes initiatives by Holiday Inn and its parent company, InterContinental Hotels, which announced a plan last month to ditch its tiny toiletries in more than 5,600 hotels by 2021. Last year, Walt Disney Co. also pledged to reduce plastic in guest rooms by 80 percent through switching to refillable toiletries in hotels and on cruise ships. ¶More in Climate Change¶Marriott said over 1,000 of its properties across North America have already made the switch. The aim is to prevent about 500 million plastic bottles — about 1.7 million pounds of plastic — from entering landfills annually. According to the hotel chain, that's a 30 percent annual reduction. ¶When fully implemented, Marriott International’s expanded toiletry program is expected to prevent about 500 million tiny bottles annually from going to landfills; that’s about 1.7 million pounds of plastic, a 30% annual reduction from current amenity plastic usage. #Serve360 pic.twitter.com/PQAUdV6Rx8¶""This is our second global initiative aimed at reducing single-use plastics in just over a year, which underscores how important we believe it is to continuously find ways to reduce our hotels' environmental impact,"" said Arne Sorenson, president and CEO of Marriott International. ""It's a huge priority for us."" ¶The hotel chain said one of its large, pump-topped bottles contains the same amount of product as 10 to 12 tiny, single-use bottles, most of which are never recycled. ¶Hotel chains around the world may soon be forced to follow suit. Lawmakers in California are considering banning hotels from using small shampoo bottles in 2023, while the European Union is banning a wide range of single-use plastic items, like cutlery and plates, by 2021, the Associated Press reports. ¶Despite global efforts to curb the problem, plastic use is expected to increase through the next decade as oil and gas companies double down on petrochemicals production. Many environmental activists say the U.S. should halt plastics production altogether.¶Scientists have warned about the increasing dangers of plastic waste in our oceans, in part because plastic trash gets into the marine food chain. Recycling is only a partial solution because most products cannot be recycled, and plastic takes hundreds of years to decompose.¶Large amounts of discarded plastics have been found in dead sea animals around the world in recent years. Most recently, a beloved dugong whose rescue went viral in Thailand later died with a stomach full of plastic waste. ",0
"    
            Greta Thunberg set to arrive in New York City after sailing across Atlantic in zero-emissions yacht - CBS News
    ",CBS News,"August 28, 2019, 10:25 AM","¶A flight to New York would've taken just eight hours, but Greta Thunberg wanted to prove a point on her two-week journey across the ocean. The teenage activist is sailing across the Atlantic as part of her campaign to highlight the need for action on climate change, and her voyage is almost complete.¶Thunberg set sail from England two weeks ago aboard a zero-emissions yacht. When she arrives, the 16-year-old will be attending two climate summits at the United Nations and wants to raise awareness about environmental issues. Thunberg refused to fly to New York because of the carbon footprint of traveling by plane. Instead, she chose to sail about 3,000 miles. ¶Earlier Wednesday morning she tweeted that she can see the lights of New York, but won't actually touch shore until later this afternoon.¶Land!! The lights of Long Island and New York City ahead. pic.twitter.com/OtDyQOWtF5¶""What I am concerned about is whether we will do something or not, whether the people in power will react and act with necessary force,"" Thunberg said before setting sail.¶Gale-force winds meant it wasn't plain sailing to get to the United States. The 60-foot racing yacht, powered by underwater turbines and solar panels, was hit by heavy seas, but Thunberg made it across the Atlantic without raising carbon emissions. ¶Conditions on board included no showers and little privacy, but that didn't stop Thunberg from celebrating the one-year anniversary of the start of her climate change movement.¶She began striking alone outside the Swedish parliament last August, and soon students around the world began walking out of school too, demanding action from their governments.¶Thunberg became the unlikely leader of a global youth movement. She's been called ""the voice of the planet,"" and has even been nominated for the Nobel Peace Prize. ¶""I want you to act as if the house is on fire, because it is,"" Thunberg said while addressing the World Economic Forum at Davos in January.¶Earlier this month, she told CBS News that it's time to see if leaders in the U.S. and globally are really listening.¶""They say they're listening to us, and now it is up to them to prove if they have listened,"" Thunberg said.¶While she's here in the U.S., Greta will attend two global climate strikes in addition to the U.N. summits. It's still unclear how she plans to eventually travel back home.",0
"    
            Thousands of new wildfires burn across the Amazon - CBS News
    ",CBS/AP,"August 26, 2019, 12:09 PM","¶Smoke thick enough to nearly shield the sun is blanketing parts of the Amazon as flames ravage the forest beneath. Nearly 10,000 new fires have been reported in a little over a week.¶Many are believed to be intentionally set by farmers clearing land, as Brazil's President Jair Bolsonaro has relaxed environmental laws to promote economic expansion in the rainforest.¶""This year we had more devastation, more deforestation so the livestock can come,"" said Jarlene Gomes, a researcher who promotes sustainable farming. Referring to the downed trees, she said, ""So they have to take this mass and do something with that. And the easiest way is to burn it.""¶The Associated Press reports that Brazil's federal police agency is investigating reports that farmers in the state of Para had called for ""a day of fire"" earlier this month. More than 77,000 fires in the Amazon have been recorded so far this year, according to the country's satellite monitoring agency — 10,000 more in a little over a week.¶Reporting from Rio Branco, Brazil, CBS News correspondent Manuel Bojorquez witnessed a spot fire erupt just a few minutes earlier on the side of the road. The flames quickly spread, devouring shrubbery and trees. ¶Bojorquez also visited a field where a fire had erupted yesterday. The flames quickly spread; within a half-hour, there was nothing left. ¶On Friday, President Bolsonaro announced he is sending 44,000 army troops to help battle the flames, but only after facing protests from the public and pressure from critics of his policies.¶Bojorquez asked Gomes, ""Do you think we're at the tipping point where the Amazon may not be able to recover?""¶""We think that the risk is too big,"" Gomes replied. ""I mean, it's too great to take on. Because when fire hits the forest, we have no way to control it.""¶What's at stake affects everyone: the Amazon produces a substantial amount of the world's oxygen. It also stores carbon, yet the amount of carbon that the rainforest is taking from the atmosphere has been lessened in recent years by deforestation. Scientists are afraid that that balance could be changing, speeding up climate change. ¶At the G-7 summit, leaders of member countries were nearing an agreement on how to help Brazil battle the fires and repair the damage.¶
                                                            A record number of fires have devastated the Amazon rainforest in Brazil and neighboring countries
                                                    ¶""Of course (this is) Brazilian territory, but we have a question here of the rainforests that is really a global question,"" said German Chancellor Angela Merkel. ""The lung of our whole Earth is affected, and so we must find common solutions.""¶There is some help from the U.S., including a 747 supertanker, now in Bolivia, which can hold up to roughly 19,000 gallons of water per trip.¶Back in Brazil, the fires are also threatening homes. Desperation drove one family to use a pail of water as they waited for a pump to start pushing water through a hose — trying their best just to keep the fire away from the houses.¶Their efforts only highlight how unstoppable the flames can be.",0
Leonardo DiCaprio's foundation pledges $5 million in aid for Amazon rainforest fires,"
                  Christopher Brito
              ","
Updated on:  August 26, 2019 / 12:06 PM
      / CBS News
    ","¶Leonardo DiCaprio's new environmental foundation, Earth Alliance, has made an initial pledge of $5 million to help fight the raging fires devastating the Amazon rainforest. The Oscar-winner's organization, which made the announcement over the weekend, addresses urgent threats against the planet. ¶After Brazil's space research center INPE identified a record-breaking surge in fires in the iconic rainforest this summer, outrage and concern have grown across the world. The massive Amazon rainforest, known as the ""lungs of the planet,"" is the most biodiverse ecosystem on earth. Many organizations have stepped up to help provide aid to the affection region and its indigenous population, including Earth Alliance, which launched the Amazon Forest Fund on Sunday. ¶The fund will focus on ""providing critical resources for indigenous communities and local partners working to protect the life-sustaining biodiversity of the Amazon against the surge of wildfires burning across the region,"" according to Earth Alliance. It says the donations will be distributed directly to local partners and the indigenous communities protecting the Amazon. ¶ #EarthAlliance, launched in July by @LeonardoDiCaprio, Laurene Powell Jobs, and Brian Sheth, has formed an emergency Amazon Forest Fund with a commitment of $5 million dollars to focus critical resources for indigenous communities and other local partners working to protect the life-sustaining biodiversity of the Amazon against the surge of fires currently burning across the region.  Join Us.  100 percent of your donation will go to partners who are working on the ground to protect the Amazon.  Earth Alliance is committed to helping protect the natural world. We are deeply concerned about the ongoing crisis in the Amazon, which highlights the delicate balance of climate, biodiversity, and the wellbeing of indigenous peoples.  To learn more or to donate, please visit ealliance.org/amazonfund (see link in bio). Photos: @chamiltonjames, @danielbeltraphoto 2017¶A post shared by  Earth Alliance (@earthalliance) on Aug 25, 2019 at 6:47am PDT¶""We are deeply concerned about the ongoing crisis in the Amazon, which highlights the delicate balance of climate, biodiversity, and the wellbeing of indigenous peoples,"" the group said.¶More in Climate Change¶The Amazon fires have become a global issue, escalating tensions between Brazil and other countries that believe Brazil's right-wing populist President Jair Bolsonaro has neglected commitments to protect the environment. Bolsonaro's policies have emboldened farmers and ranchers to clear more land in the rainforest for agriculture, speeding up the rate of deforestation.¶Facing public pressure over the fires, Bolsonaro authorized Brazil's armed forces to aid firefighting efforts, saying he's committed to protecting the Amazon region. However, conservationist Paul Rosolie told ""CBS This Morning"" that military action isn't enough and said the Amazon is at risk of ""collapsing.""¶""As we chop more of the rainforest down — and this has been going on for decades, this is not an isolated issue — as we chop more of the rainforest, what we're risking is reaching a tipping point, where that moisture system might be too dry to produce the rain. And then you have a serious problem on your hands, because you're talking about the entire Amazon sort of collapsing,"" Rosolie explained.¶Earth Alliance also warns that destruction of the Amazon rainforest releases more carbon dioxide into the atmosphere, diminishing an ecosystem that absorbs millions of tons of carbon emissions every year and is one of the planet's best defenses against the climate crisis. ",0
"    
            New seeds may help cotton farmers in face of drought, climate change - CBS News
    ",CBS News,"August 26, 2019, 9:39 AM","¶The U.S. is the world's leading cotton exporter, with an industry estimated to generate more than $21 billion of products and services a year. Drought and climate change are having an effect on the crop, though. So scientists in Boston are growing cotton in labs to develop new ways to reduce environmental stress.¶""Virtually every major crop in the U.S. and around the world is at significant risk to climate change, and cotton is no exception to that,"" Geoffrey Von Maltzahn said.¶Von Maltzahn and his team at a startup called Indigo say they've developed a breakthrough: drought-resistant seeds.¶""Water stress and drought in cotton is the most important stress in agriculture that has almost no solutions today,"" Von Maltzahn said. ""Remarkably, nature has found a whole bunch of solutions to that in the microbiome.""¶Think of a microbiome as a plant's gut filled with tiny microbes. Indigo discovered which ones from within a cotton plant deal with water stress. They then coat the seeds with those specific microbes, to make them more resilient in dry conditions. ¶""It's allowed us to grow cotton that is better able to withstand the stress that a plant experiences with a given amount of water restriction,"" Von Maltzahn said. They say their methodology is more natural than genetically-modified, mass-produced seeds. The plants are exposed to scorching temperatures in grow rooms and then tested in the hot fields.¶More than a century and a half ago, cotton dominated agriculture in the American South, first picked by generations of slaves and then share-croppers. But many farmers have abandoned cotton because of low profits and challenging conditions. ¶Modern-day cotton farming continues in states like Texas, but dry and hot weather has pushed farmers to get creative. ¶""We were looking for any way to find an edge,"" said Stetson Hogue, whose family has been growing cotton for generations.¶The Hogues have one of the few cotton farms in Lubbock, Texas, to survive a 4-year drought that started in 2011.¶""We've definitely lost a few growers in the last few years,"" Hogue said. ""And I would say that certainly has more to do with the whole economics of farming, the whole environment that we're dealing with.""¶ Like many farmers, Hogue believes the droughts he's experienced are part of normal weather trends, not the result of climate change. ""We are used to the drought here,"" Hogue told CBS News' Adriana Diaz. ""It's just something that we've always had to deal with. Our weather is always changing year in and year out, and we don't expect that to change any time soon.""¶Still, he wants seeds that can perform better in dry conditions to provide a much needed lift to profits. ¶""My grandad, 30-40 years ago, could buy a new tractor for $20,000,"" Hogue said. ""A new tractor today costs $200,000. So we're selling our cotton today for 70 to 75 cents, he sold his cotton for 70 to 75 cents, so obviously there's a big gap there and it's been a challenge. But for many cotton farms, this innovation came too late. Over the last few years, some cotton growers in the area have shut down completely. Others have diversified into other crops that can better survive dry conditions, like grapes. ""This land has been cotton, historically, for the last 60 years,"" Katy Jane Seaton said. ""One-hundred percent of it. And we changed our minds and decided to take a chance with a vineyard here."" In 2015, with her cotton yields declining, Seaton poured her efforts into wine-making, since grapes are more resistant to drought. ¶""There is much more vitality in growing grapes. If you can keep them alive you are not beholden to the marketplace,"" Seaton said. That marketplace is sure to keep changing as the Earth gets hotter, which means more demand for seeds that can thrive in our warmer world. ¶You may wonder how the higher cost of producing cotton will impact U.S. consumers, and the farmers say it won't. While the cost of producing cotton keeps increasing, they are the ones who bear the brunt of it.",0
"Trump skips out on G-7 climate meeting, citing busy schedule","
                  Emily Tillett
              ","
Updated on:  August 26, 2019 / 11:51 AM
      / CBS News
    ","¶President Trump skipped a climate meeting with fellow world leaders at the G-7 summit in Biarritz, France on Monday, further fueling concerns over the administration's lack of interest in combating the effects of climate change. During the scheduled working session on climate, biodiversity and oceans, U.S. pool reporters did not see the president and asked the White House to confirm if he was a no-show. ¶White House press secretary Stephanie Grisham replied with a statement saying, ""The President had scheduled meetings and bilaterals with Germany and India, so a senior member of the Administration attended in his stead."" ¶This is not the first time the president has skipped out on attending a climate-related event. Mr. Trump did not attend last year's G-7 climate session in Quebec City either. ¶More in Climate Change¶Mr. Trump, over the course of his presidency, has undone many of President Obama's environmental initiatives, withdrawing the U.S. from the Paris climate agreement and rolling back regulations like the Clean Power Plan. The president has also expressed skepticism about government research that shows carbon emissions are warming the planet and warns of potentially catastrophic consequences if the trend continues.  ¶The president, meanwhile, has claimed his administration is working to improve the environment, insisting the environment and economy go hand in hand. The economy, however, has presented an equally troubling issue for the administration as it continues to wage an all-out trade war with China. ¶It's a position he reiterated at the close of the G-7 summit, telling reporters that he considers himself ""an environmentalist"" but at the same time said it was important to him to maintain America's wealth as an energy exporter. ¶""I'm not gonna lose that wealth. I'm not gonna lose it on dreams, on windmills,"" said Mr. Trump. ",0
"Brazil's climate change-denying officials call outrage over Amazon fires ""sensationalist""","
                  Sophie Lewis
              ","
August 23, 2019 / 1:11 PM
      / CBS News
    ","¶Brazil's President Jair Bolsonaro has fired back at critics around the world who are outraged by the fires raging across the Amazon rainforest. He called the global alarm ""sensationalist"" and warned foreign governments not to meddle in the territory. ¶Bolsonaro, a right-wing populist, has dismissed protections for the Amazon rainforest — a vast ecosystem known as the ""lungs of the planet"" — as a barrier to economic development. Since taking office in January, he has encouraged farmers, ranchers and loggers to clear land in the Amazon, speeding up the rate of deforestation and encroaching on the land of indigenous peoples.¶Environmentalists say humans are the root cause of these Amazon fires — many were deliberately set to clear the forest for large-scale agriculture, though wind and heat helped them spread. Now, the Brazilian government is defending itself as activists and political leaders around the world are seeking urgent action. ¶More in Climate Change¶On Thursday, French President Emmanuel Macron called the fires an ""international crisis"" and urged leaders at the G-7 summit to prioritize the fires during their discussions in France this weekend. ¶""Our house is burning,"" Macron tweeted. ""Literally. The Amazon rain forest — the lungs which produces 20% of our planet's oxygen — is on fire.""¶Our house is burning. Literally. The Amazon rain forest - the lungs which produces 20% of our planet’s oxygen - is on fire. It is an international crisis. Members of the G7 Summit, let's discuss this emergency first order in two days! #ActForTheAmazon pic.twitter.com/dogOJj9big¶Bolsonaro responded to the criticism on Twitter. ""I regret that Macron seeks to make personal political gains in an internal matter for Brazil and other Amazonian countries,"" he wrote. ""The sensationalist tone he used does nothing to solve the problem.""¶Canadian Prime Minister Justin Trudeau supported Macron's plea, tweeting: ""We need to #ActForTheAmazon & act for our planet — our kids & grandkids are counting on us."" But climate skeptics attending the summit — including President Donald Trump and U.K. Prime Minister Boris Johnson — may not agree. ¶Bolsonaro also accused Macron of a ""colonialist"" mindset for attempting to bring the issue to the forefront of the summit. Brazil is not a member of the G-7, nor are other Amazonian nations like Bolivia or Peru. ¶""These countries that send money here, they don't send it out of charity ... They send it with the aim of interfering with our sovereignty,"" Bolsonaro said Thursday, Reuters reported. Other Brazilian officials have accused media outlets and foreign leaders of exaggerating the devastation for personal gain. ¶However, Bolsonaro admitted that Brazil does not have the resources to fight the fire on its own. He said Friday that he might send in the military to help battle the flames.¶""The Amazon is bigger than Europe, how will you fight criminal fires in such an area?"" he said, according to Reuters. ""We do not have the resources for that.""¶Earlier this week, Bolsonaro suggested, without any evidence, that nonprofit groups may have set the fires themselves in an act of retaliation. He admitted Thursday that farmers could in fact be to blame for the increase in fires. ¶""The unprecedented fires ravaging the Amazon are an international tragedy and a dangerous contribution to climate chaos,"" Amazon Watch program director Christian Poirier said in a statement. ""This devastation is directly related to President Bolsonaro's anti-environmental rhetoric, which erroneously frames forest protections and human rights as impediments to Brazil's economic growth.""¶Brazil is struggling economically, and the potential provided by Amazonian land has grown more alluring, despite warnings from scientists about the dangers of deforestation. The Amazon, which covers more than 2 million square miles across nine South American countries, is the largest rainforest in the world. It produces a significant amount of Earth's oxygen and is considered vital to combating climate change. ¶There is also growing concern for indigenous peoples living in the region, and the effect the wildfires will have on their homes. Balsonaro recently shifted authority over indigenous peoples from the government's official indigenous rights agency to the agriculture ministry, which could significantly impact their long-term protections. ¶Major environmental organizations are seeking donations of any amount to assist in their efforts to protect the Amazon.",0
Celebrities call for action against raging Amazon fires,"
                  Caitlin O'Kane
              ","
August 23, 2019 / 10:24 AM
      / CBS News
    ","¶Madonna, Jennifer Lopez, Leonardo DiCaprio and Kris Jenner are just a few of the celebrities using their platforms to call for action against the raging fires in the Amazon rainforest.¶Almost 73,000 fires have been detected by Brazil's space research center INPE, Reuters reported. That's a record number, up more than 80% compared to last year. Environmentalists from Amazon Watch, a group that works to protect the Amazon and indigenous people, say many of the fires have been deliberately set by farmers and ranchers to clear the land for agriculture, with the encouragement of Brazil's right-wing President Jair Bolsonaro.¶Many celebrities posted about the devastating fires and several called on Bolsonaro to make a change. Some noted that protecting the Amazon benefits the entire world, since the massive rainforest is home to thousands of unique species and plays an important role in mitigating climate change. ¶More in Climate Change¶""This is a devastation to Brazil—to the indigenous people who live there and the-plant and animal species that make this the most important bio-diverse Forest!!!"" Madonna wrote on Instagram. ""President Bolsonaro please change your policies and help not only your country but the entire planet. No economic development is more important than protecting this land.""¶ The Fires Are Raging and The Amazonia continues to burn.........This is a devastation to Brazil—to the indigenous people who live there and the-plant  and animal species that make this the most important bio-diverse Forest!!! President Bolsonaro please change your policies and help not only your country but the entire  planet. No economic development is more important than protecting this  land. 🙏🏼 we need to WAKE -UP!! The future of the rainforest affects the future of the world! 🌎🌏🌍 #prayforamazonia #amazonrainforest #brazil #wakeup¶A post shared by  Madonna (@madonna) on Aug 22, 2019 at 12:35pm PDT¶Leonardo DiCaprio shared information from Rainforest Alliance, suggesting ways concerned people across the globe can help. ""Consider becoming a regular supporter of the Rainforest Alliance's community forestry initiatives across the world's most vulnerable tropical forests, including the Amazon,"" he wrote.¶DiCaprio suggested making donations, staying informed and being a conscious consumer, ""taking care to support companies committed to responsible supply chains."" ¶ #Regram #RG @rainforestalliance:  The lungs of the Earth are in flames. 🔥 The Brazilian Amazon—home to 1 million Indigenous people and 3 million species—has been burning for more than two weeks straight. There have been 74,000 fires in the Brazilian Amazon since the beginning of this year—a staggering 84% increase over the same period last year (National Institute for Space Research, Brazil). Scientists and conservationists attribute the accelerating deforestation to President Jair Bolsonaro, who issued an open invitation to loggers and farmers to clear the land after taking office in January.⁣ ⁣ The largest rainforest in the world is a critical piece of the global climate solution. Without the Amazon, we cannot keep the Earth’s warming in check. ⁣ ⁣ The Amazon needs more than our prayers. So what can YOU do?⁣ ⁣ ✔ As an emergency response, donate to frontline Amazon groups working to defend the forest. ⁣ ✔ Consider becoming a regular supporter of the Rainforest Alliance’s community forestry initiatives across the world’s most vulnerable tropical forests, including the Amazon; this approach is by far the most effective defense against deforestation and natural forest fires, but it requires deep, long-term collaboration between the communities and the public and private sectors. ✔ Stay on top of this story and keep sharing posts, tagging news agencies and influencers. ⁣ ✔ Be a conscious consumer, taking care to support companies committed to responsible supply chains.⁣ Eliminate or reduce consumption of beef; cattle ranching is one of the primary drivers of Amazon deforestation. ✔ When election time comes, VOTE for leaders who understand the urgency of our climate crisis and are willing to take bold action—including strong governance and forward-thinking policy.⁣ ⁣ #RainforestAlliance #SaveTheAmazon #PrayForAmazonia #AmazonRainforest #ActOnClimate #ForestsResist #ClimateCrisis 📸: @mohsinkazmitakespictures / Windy.com¶A post shared by  Leonardo DiCaprio (@leonardodicaprio) on Aug 22, 2019 at 7:12am PDT¶Jennifer Lopez and Shakira reposted DiCaprio's Instagram and other celebrities, including Kris Jenner, posted about the Amazon, using the hashtags ""Pray for Amazonia"" and ""Save the Amazon.""¶Diddy posted a video with his children, explaining the crisis and noting that the Amazon rainforest generates considerable amounts of our world's oxygen.¶ The Amazon has been burning for weeks, but we are just now hearing about this. The Amazon is the largest rainforest on the planet and contains 20% of our worlds oxygen. The fires are burning at one of the fastest paces in years. We only have one planet and we have to take care of it. @combscartel @the_combs_twins @myfancychance ❤️❤️❤️ #SaveTheAmazon PRAY FOR BRAZIL @mikeholston¶A post shared by  Diddy (@diddy) on Aug 22, 2019 at 10:03am PDT¶French President Emmanuel Macron called it ""an international crisis"" and urged fellow world leaders to take action during their upcoming G-7 summit. He tweeted: ""Our house is burning. Literally. The Amazon rain forest – the lungs which produces 20% of our planet's oxygen – is on fire. It is an international crisis. Members of the G7 Summit, let's discuss this emergency first order in two days!""",0
"    
            Native Americans may lose their homes to rising waters on Louisiana island - CBS News
    ",CBS News,"August 21, 2019, 6:41 PM","¶Isle de Jean Charles, Louisiana — Tropical Storm Chantal, churning in the north Atlantic, is no threat to land at the moment. But it's expected to be an above-average hurricane season, which is bad news for Native Americans on a small island off the Louisiana coast. Rising waters are swallowing up their island, making them some of America's first climate refugees.¶Shrimper Steve Billiot is a member of the Houma Nation. For almost two centuries, his people have fished, hunted and farmed on and around Isle de Jean Charles. Now, the land is in danger of being lost to climate change.¶Rising sea levels and the intrusion of salt water from the Gulf of Mexico have destroyed much of the island's natural protective barrier, making it vulnerable to storm surge.¶There's only one way on or off the island so when major storms blow through the area, the road gets washed out. Anyone who's decided to stay on the island and not evacuate will be trapped.¶Even a relatively weak category one storm like Hurricane Barry, which hit in early July, can have devastating effects.¶Chris Brene reluctantly evacuated the island before the storm. ¶""It is so much of my upbringing, so much of my identity from who I am to where I live,"" Brene said.¶Soon, all he'll have left are memories of the island, which since 1955 has lost 98% of its landmass. Today, it sustains a shrinking population of fewer than 60 people.¶""There's no way for us to know exactly when the island will be uninhabitable,"" said Pat Forbes, who runs a $48 million federally funded resettlement project.¶The first of its kind project is designed to move the island's remaining inhabitants to higher ground, some 40 miles away.¶""Nobody wants to leave the island. But they recognize for the most part that they're not going to be able to live there forever,"" Forbes said.¶It's a reality Brene wrestles with every day.¶""Once I make that decision, that's going to be my future,"" he said.¶Brene and his neighbors will have to make that decision soon, as their beloved island succumbs to the rising sea.",0
